[2017-10-05 00:06:51] A Error Code: 8, Message:Array to string conversion, In Line :32, At File:/data/web/restful/vendor/yoc/validate/DatetimeValidate.php
[2017-10-05 01:55:47] A Error Code: 2, Message:unlink(/data/web/restful/runtime/cachexl_friend.log): No such file or directory, In Line :163, At File:/data/web/restful/vendor/yoc/cache/FileCache.php
[2017-10-05 01:55:47] A Error Code: 2, Message:unlink(/data/web/restful/runtime/cachexl_friend.log): No such file or directory, In Line :163, At File:/data/web/restful/vendor/yoc/cache/FileCache.php
[2017-10-05 01:55:47] A Error Code: 2, Message:unlink(/data/web/restful/runtime/cachexl_friend.log): No such file or directory, In Line :163, At File:/data/web/restful/vendor/yoc/cache/FileCache.php
[2017-10-05 01:55:47] A Error Code: 2, Message:unlink(/data/web/restful/runtime/cachexl_friend_group.log): No such file or directory, In Line :163, At File:/data/web/restful/vendor/yoc/cache/FileCache.php
[2017-10-05 01:55:54] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-05 01:55:54] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-05 01:55:54] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-05 01:56:44] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-05 01:56:47] A Error Code: 4096, Message:Object of class app\model\User could not be converted to string, In Line :247, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-10-05 01:56:47] A Error Code: 8, Message:Array to string conversion, In Line :34, At File:/data/web/restful/vendor/yoc/validate/LengthValidate.php
[2017-10-05 01:56:53] A Error Code: 8, Message:Array to string conversion, In Line :34, At File:/data/web/restful/vendor/yoc/validate/LengthValidate.php
[2017-10-05 01:56:53] A Error Code: 8, Message:Array to string conversion, In Line :34, At File:/data/web/restful/vendor/yoc/validate/LengthValidate.php
[2017-10-05 01:56:53] A Error Code: 8, Message:Array to string conversion, In Line :34, At File:/data/web/restful/vendor/yoc/validate/LengthValidate.php
[2017-10-05 01:56:53] A Error Code: 8, Message:Array to string conversion, In Line :34, At File:/data/web/restful/vendor/yoc/validate/LengthValidate.php
[2017-10-05 02:00:01] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-05 02:00:01] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-05 02:00:01] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-05 02:00:03] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-05 02:00:10] A Error Code: 2, Message:unlink(/data/web/restful/runtime/cachexl_friend.log): No such file or directory, In Line :163, At File:/data/web/restful/vendor/yoc/cache/FileCache.php
